,Tweets
188,"Rispekmania buat @adjisdoaibu beserta jajarannya, dari mulai panitia inti sampe semua kru di lapangan. LOVE YOU ALL… https://t.co/Xw2gKYEnkP"
189,"Anyway. From the bottom of my heart, makasih ya para penonton #JamboreStandupindo2022. Surreal rasanya bisa ngalami… https://t.co/ALf9G3oBdx"
190,Apus ah. Udah cukup gitu aja jailnya. 😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂
191,Asli. Bingung ya 😂😂😂😂😂😂 https://t.co/ofdv6yYHs3
192,@teartooo Fuckta. 🤓
193,Ajegile udah 0-3 aja Arsenal. Udah ah nontonnya. Sampe ketemu 1 Oktober deh yak! 🤘🤘🤘🤘🤘 #COYS
194,"Maap salah, Partey ada 🙏"
195,Eh iya maap. Partey ada ya. Tetep aja tanpa Odegaard sang kapten / kreator sentral. Nguasain bolanya serem hiiiiiii https://t.co/IUmOagZm1X
196,Penampilan brilian sang headliner @bene_dion di #JamboreStandupindo2022 semalam bukan hanya menutup rangkaian acara… https://t.co/iWsDoHKozL
197,Arsenal mainnya bagus banget ya. Gokil Arteta ini.
